    Voltage	    Current
      -0.21	    -129.21
      -0.18	   -128.958
      -0.15	   -128.689
      -0.12	   -128.395
      -0.09	   -128.072
      -0.06	   -127.718
      -0.03	   -127.329
          0	   -126.898
       0.03	   -126.422
       0.06	   -125.894
       0.09	   -125.306
       0.12	   -124.649
       0.15	   -123.913
       0.18	   -123.086
       0.21	   -122.151
       0.24	   -121.093
       0.27	   -119.888
        0.3	    -118.51
       0.33	   -116.928
       0.36	   -115.105
       0.39	   -112.994
       0.42	   -110.544
       0.45	   -107.695
       0.48	   -104.382
       0.51	   -100.537
       0.54	   -96.0967
       0.57	   -91.0053
        0.6	   -85.2223
       0.63	    -78.729
       0.66	   -71.5492
       0.69	   -63.8038
       0.72	   -55.7688
       0.75	   -47.7747
       0.78	   -39.7594
       0.81	   -30.5201
       0.84	   -16.6863
       0.87	    9.07306
        0.9	    61.2984
       0.93	    164.845
       0.96	      355.7
       0.99	    671.358
