    Voltage	    Current
      -0.21	   -209.719
      -0.18	   -209.673
      -0.15	   -209.624
      -0.12	   -209.573
      -0.09	   -209.518
      -0.06	    -209.46
      -0.03	   -209.398
          0	   -209.332
       0.03	   -209.261
       0.06	   -209.184
       0.09	   -209.102
       0.12	   -209.014
       0.15	   -208.918
       0.18	   -208.814
       0.21	     -208.7
       0.24	   -208.576
       0.27	    -208.44
        0.3	   -208.289
       0.33	   -208.122
       0.36	   -207.936
       0.39	   -207.727
       0.42	   -207.491
       0.45	   -207.223
       0.48	   -206.915
       0.51	   -206.559
       0.54	   -206.142
       0.57	   -205.649
        0.6	   -205.057
       0.63	   -204.334
       0.66	   -203.435
       0.69	   -202.288
       0.72	   -200.784
       0.75	   -198.752
       0.78	   -195.916
       0.81	   -191.852
       0.84	   -185.932
       0.87	   -177.252
        0.9	   -164.429
       0.93	   -145.029
       0.96	   -114.458
       0.99	   -64.0898
       1.02	     21.655
       1.05	    168.498
       1.08	    412.317
       1.11	    791.744
